Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Senegal,SEN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,17631205770.5517,18525772233.6835,19361876317.8165,19152231811.0981,19105759853.2535,19680292635.6589,22063860510.7138,23419237507.2424,24146285127.8514,26409178063.3734,28159265095.5353,29480052747.0121,31067968027.5883
Sierra Leone,SLE,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,5414441172.4196,6531086698.65821,6669903186.89039,6693772707.13952,6734339474.09851,6216958213.5869,6260259599.19424,6541087395.75637,6651852387.99538,7165524069.68033,7624515396.53619,7339198697.66942,7081857775.64397
Solomon Islands,SLB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1044074053.77306,1241047369.48754,1287623076.41384,1286324749.24082,1327720673.39061,1386106464.60875,1526385205.55806,1610347047.51213,1619265290.3043,1616348850.9957,1568125653.24459,1586016623.29723,1565388577.50569
"Somalia, Fed. Rep.",SOM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,3464322794.12745,4342911322.20167,5487577383.57006,6073307224.43378,6496601660.71499,7434407740.46598,7863887592.39271,8350218812.3533,8365144883.20063,9271725932.04871,10100149677.9923,11030776887.2473,11709516778.1825
South Sudan,SSD,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,8584908541.7114,12051428873.9028,13158858189.8063,11669229567.3347,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,70730627250.8031,74644611362.4531,79197432615.8613,82260406279.7854,85316153829.6399,90616814116.0505,94362583639.5747,92038846933.8123,85009368851.4084,88955119526.5602,80376668180.8098,77861585828.8255,84550766012.2108
St. Lucia,LCA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1552676432.2632,1510222088.69234,1574744820.76531,1577921343.17811,1705217012.06565,1809461993.99497,1958014133.52651,1971989189.90381,1525779290.93788,1759372823.34208,2099184232.2281,2230845742.20807,2272161125.09326
St. Vincent and the Grenadines,VCT,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,731107135.298425,755078239.223571,737189343.480451,760603349.877167,795676177.999378,816293564.9721,878661027.356113,906227408.996564,865793310.933347,896994153.288691,970471382.51815,1051852679.26228,1112783707.07169
Sudan,SDN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,41279323892.5977,40029645367.0423,43851218696.811,47421486582.6357,47072397102.7486,42957144540.3897,35927417623.4525,32908045442.6554,28180281538.0902,29865119420.1679,35660781578.7022,32912503179.0415,35824198940.0158
Suriname,SUR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,4626181839.25432,4898303142.72528,5123441781.2611,4970960392.51355,3917330138.77433,3384036744.40004,3434454907.73192,3632258880.34365,2883122654.88649,2774569563.04368,3141113060.00011,3274193515.24696,3610155159.11911
Tajikistan,TJK,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,9089183119.89792,10691489455.5979,11131955616.0103,10654541763.1288,9656683965.39559,9110541637.87603,9349340573.58876,9967178068.44328,10041893219.0232,11281996404.1847,13840795739.91,14559659222.6163,17507861514.1942
Tanzania,TZA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,37178889012.4328,41840805387.8039,47502980245.9276,49153890680.9618,50244433860.4284,51712128245.419,56498996263.946,60303636556.2973,62810675650.5635,69029492270.2769,75844551362.6881,79081600678.556,80245250314.9576
Timor-Leste,TLS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,4045956914.65266,3699767600.15876,3187660838.94544,2628652296.73871,2122760848.64528,2223579776.46796,2286551642.83103,2835987297.07809,2706304130.7997,2771252920.66488,2487893712.18597,2632036793.33537,2305351396.65981
Togo,TGO,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,5577560747.7569,6033397194.07282,6327527365.07779,6435797134.34771,6258871779.19796,6215736778.40697,6882190464.74736,7273755338.66137,7520559186.20713,8221858541.74388,9095267856.08127,9772155724.46928,10321572226.1005
Tonga,TON,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,444305228.115414,463178490.153191,465252915.115862,447754172.529616,451354806.255533,468632978.229724,491367347.724631,526395151.685705,550285651.733842,552592525.09167,566505587.554174,618505445.197151,..
Tuvalu,TUV,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,48573602.9386612,61688413.1255774,52207205.8837388,61921107.8251509,59563672.5203933,57885312.3362061,66944030.2624713,72821244.4884593,71588477.1285004,76523799.5636756,80937989.3563625,86040855.4074839,..
Uganda,UGA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,28539804188.8084,28694330599.4134,30240345179.0097,31764483697.8048,31612983047.5886,30589270484.8513,32027588153.2589,34728541274.0617,36394154409.5139,39351487061.5312,43852321719.0868,47008068737.8876,50933347314.5712
Uzbekistan,UZB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,64405541478.9727,73527060701.8118,80103391519.8719,85736607646.7599,88829120450.3141,83669101103.1814,75631437214.8638,70781687308.7031,67106860770.1739,76914592711.8799,87231955128.389,98081237943.9579,109649235867.002
Vanuatu,VUT,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,706678446.984241,771147241.215631,788338275.26571,792663349.706706,808642308.155731,834463047.729942,932030677.801767,1091541554.77133,1013994522.59747,1069259237.63067,1199035049.74132,1247816100.54809,1276243308.70949
Viet Nam,VNM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,176784608297.42,198882934014.16,218738113959.911,228398373125.457,240485782014.193,255477906845.945,290784413858.686,319511868951.44,333828705279.758,350317100943.686,397041416272.186,416120740793.914,453512405007.216
"Yemen, Rep.",YEM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,30836220079.1034,36138877873.333,37904121439.6671,31990154386.2301,31072960602.1034,29262776782.7111,25287123596.9464,..,..,..,..,..,..
Zimbabwe,ZWE,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,15914531042.5799,17066491022.8234,18062076349.613,19094331736.7163,18111870262.9731,24900211394.2653,32219284163.1287,37065679707.2381,30685460917.7852,36727986561.0543,41478987602.9158,41653728106.4139,39931461946.7948
Zambia,ZMB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,24445149302.4654,26269107774.0695,27654188127.7957,25049035690.5691,22389749581.9771,21932560681.9558,25037251615.8839,25612431946.7295,21395586474.5802,20349541094.4186,23514171028.8511,26363320222.8274,25927271768.1679
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,
